X,Y,id,zone,utm_zone,easting,northing,mgrs,dstrcts,dw,db,ds,drought,p_pr_sp,p_cnfrs,grwng_s,prdsp_w,rl_prdsp_w,prdsp_b,rl_prdsp_b,prdsp_s,rl_prdsp_s,prdsp__,prdsp_p,Fläch,MAPKEY,Wuchsge1,Wuchsnam,SRTMkomple
4537476.8232476,2621085.98247533,46,33,33,333750,5170350,33TUM,Hermagor,478.1045800000,261.7320300000,415.4575200000,13.0442800000,0.3235300000,0.6470600000,394.4117600000,462.7655400000,0.4959100000,0.0000000000,0.0000000000,165.8746300000,0.9351000000,462.7655400000,0.1173300000,819499515.6000000238,25F9,6.1,Sdliche Randgebirge,1587.0000000000
4743374.68763889,2826349.55825135,47,33,33,552450,5361390,33UWP,Krems,1141.3279100000,1287.1409200000,474.3902400000,18.9034000000,0.1707300000,0.5122000000,352.6829300000,736.1682800000,0.7888900000,700.3177400000,1.0630600000,92.2186400000,0.5198700000,1436.4860200000,0.4073000000,980179217.8999999762,CE,8.1,Pannonisches Tief- und Hgelland,188.0000000000
4675177.27681266,2845532.52945164,48,33,33,485700,5385150,33UVP,Waidhofen an der Thaya,1410.5555600000,595.2222200000,319.0740700000,21.2271800000,0.3666700000,0.8000000000,347.9000000000,1029.7729200000,1.1035200000,794.3815500000,1.2058500000,156.7092300000,0.8834300000,1824.1544700000,0.5243300000,1486186982.0000000000,CB,9.2,Waldviertel,841.0000000000
4560252.00311039,2657467.78320946,49,33,33,358800,5205180,33TUN,Spittal an der Drau,719.4690300000,184.8230100000,23.3185800000,19.0200800000,0.4601800000,0.7610600000,365.6548700000,994.9850200000,1.0662400000,198.4705600000,0.3012700000,169.1868900000,0.9537700000,1193.4555800000,0.3263900000,2790113307.0000000000,25EB,1.3,Subkontinentale Innenalpen - Ostteil,1813.0000000000
4711726.82720533,2728461.01239002,50,33,33,514440,5265900,33TWN,Bruck an der Mur,905.5555600000,772.1612500000,174.0108400000,30.1833600000,0.4146300000,0.7682900000,377.7073200000,891.4947900000,0.9553400000,945.2296000000,1.4348300000,242.9561700000,1.3696400000,1836.7243800000,0.4862800000,1296457081.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,1171.0000000000
4793655.34727941,2700815.06505709,51,33,33,594330,5232750,33TWN,Burgenland-Sd,195.8192400000,1426.9270300000,48.5323400000,20.7885000000,0.0597000000,0.3880600000,309.4925400000,515.7921500000,0.5527300000,1286.7927900000,1.9533200000,0.0000000000,0.0000000000,1802.5849500000,0.5824300000,1481294508.0000000000,DE,8.2,Subillyrisches Hgel- und Terrassenland,346.0000000000
4750858.37176315,2872076.60602509,52,33,33,562950,5406480,33UWQ,Horn,205.2046800000,413.2456100000,20.7602300000,15.1049500000,0.1315800000,0.4473700000,249.6315800000,160.5098400000,0.1720100000,498.4530000000,0.7566400000,59.2375100000,0.3339500000,658.9628400000,0.2639700000,1803085095.0000000000,CB,9.2,Waldviertel,395.0000000000
4686144.21518782,2808498.4169387,53,33,33,494190,5347470,33UVP,Perg,800.2645500000,595.1322800000,213.4920600000,21.6487800000,0.3333300000,0.6190500000,324.4761900000,1258.6401800000,1.3487800000,808.2859400000,1.2269600000,269.1095200000,1.5170800000,2066.9261100000,0.6370000000,616195212.0000000000,414,9.1,Mhlviertel,438.0000000000
4554679.99862382,2720955.56113197,54,33,33,357360,5268930,33TUN,Hallein (Tennengau),897.7777800000,528.2539700000,81.4285700000,46.0797100000,0.2857100000,0.5714300000,307.8857100000,977.1052700000,1.0470800000,1089.9472100000,1.6545100000,125.6197700000,0.7081700000,2067.0524800000,0.6713700000,670615266.7000000477,25E7,4.1,Nrdliche Randalpen - Westteil,1452.0000000000
4652023.19216873,2749714.67791463,55,33,33,456300,5291130,33TVN,Kirchdorf an der Krems,1407.3504300000,1361.7094000000,103.9316200000,36.7130100000,0.2000000000,0.4923100000,363.5846200000,608.2953000000,0.6518600000,872.3689800000,1.3242300000,236.6932300000,1.3343400000,1480.6642800000,0.4072400000,1207869795.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,1459.0000000000
4517461.91775312,2668224.79464514,56,33,33,316830,5218740,33TUN,Lienz (Osttirol),275.5515900000,43.2301600000,66.3472200000,20.9150000000,0.3928600000,0.8392900000,356.0714300000,784.5178100000,0.8407000000,0.0000000000,0.0000000000,253.9312300000,1.4315100000,784.5178100000,0.2203300000,2028926895.0000000000,25F7,1.2,Subkontinentale Innenalpen - Westteil,2417.0000000000
4711777.17751921,2875004.46814288,57,33,33,524160,5412060,33UWQ,Waidhofen an der Thaya,1410.5555600000,595.2222200000,319.0740700000,21.2271800000,0.3666700000,0.8000000000,347.9000000000,1029.7729200000,1.1035200000,794.3815500000,1.2058500000,156.7092300000,0.8834300000,1824.1544700000,0.5243300000,1486186982.0000000000,CB,9.2,Waldviertel,572.0000000000
4685469.76416736,2809144.44729916,58,33,33,493560,5348160,33UVP,Perg,800.2645500000,595.1322800000,213.4920600000,21.6487800000,0.3333300000,0.6190500000,324.4761900000,1258.6401800000,1.3487800000,808.2859400000,1.2269600000,269.1095200000,1.5170800000,2066.9261100000,0.6370000000,616195212.0000000000,414,9.1,Mhlviertel,583.0000000000
4741306.45685188,2666421.11152233,59,33,33,539880,5202000,33TWN,Graz,2585.9319000000,1137.9659500000,58.5125400000,32.9642500000,0.3064500000,0.6290300000,375.0967700000,1307.8870200000,1.4015500000,1006.2941700000,1.5275300000,108.6463900000,0.6124800000,2314.1811900000,0.6169600000,1214528666.0000000000,DE,8.2,Subillyrisches Hgel- und Terrassenland,396.0000000000
4637689.76800115,2783749.93476637,60,33,33,444240,5326050,33UVP,Steyr,906.5532900000,1253.5147400000,115.0793700000,27.2764000000,0.2857100000,0.5102000000,369.9183700000,933.6551400000,1.0005200000,892.6590600000,1.3550300000,154.1743600000,0.8691400000,1826.3141900000,0.4937100000,990816277.3999999762,2617,7.2,Nrdl. Alpenvorland - Ostteil,352.0000000000
4660905.19510905,2727611.70899473,61,33,33,463710,5268480,33TVN,Liezen,1005.3445900000,1425.5133600000,83.6849500000,36.4816400000,0.4177200000,0.6962000000,329.9367100000,848.0229000000,0.9087600000,848.6508900000,1.2882300000,356.8857300000,2.0119100000,1696.6737900000,0.5142400000,1403226660.0000000000,2638,4.2,Nrdliche Randalpen - Ostteil,1118.0000000000
4783924.13232162,2712027.56161035,62,33,33,585360,5244600,33TWN,Burgenland-Sd,195.8192400000,1426.9270300000,48.5323400000,20.7885000000,0.0597000000,0.3880600000,309.4925400000,515.7921500000,0.5527300000,1286.7927900000,1.9533200000,0.0000000000,0.0000000000,1802.5849500000,0.5824300000,1481294508.0000000000,DE,8.2,Subillyrisches Hgel- und Terrassenland,367.0000000000
4777117.55793764,2708494.52010347,63,33,33,578340,5241540,33TWN,Hartberg,405.5178900000,265.6346500000,33.6534800000,26.0682800000,0.1864400000,0.6779700000,378.1355900000,1130.9273800000,1.2119200000,947.1722600000,1.4377800000,0.0000000000,0.0000000000,2078.0996300000,0.5495600000,1190861079.0000000000,DE,8.2,Subillyrisches Hgel- und Terrassenland,444.0000000000
4782770.25738848,2867011.26030287,64,33,33,594450,5399250,33UWP,Gnserndorf,33.3333300000,18.0409400000,8.7719300000,10.9231400000,0.0000000000,0.0526300000,174.6052600000,192.2425000000,0.2060100000,639.6554300000,0.9709800000,0.0000000000,0.0000000000,831.8979200000,0.4764400000,2575874612.0000000000,CE,8.1,Pannonisches Tief- und Hgelland,199.0000000000
4533376.67652265,2706230.38926187,65,33,33,335160,5255640,33TUN,Zell am See (Pinzgau),1584.2475400000,982.9957800000,170.3234900000,46.6599900000,0.5189900000,0.6835400000,318.3038000000,1701.9760200000,1.8238700000,921.3940700000,1.3986500000,251.1103700000,1.4156100000,2623.3700900000,0.8241700000,2629466538.0000000000,25E8,2.2,Nrdliche Zwischenalpen - Ostteil,807.0000000000
4307430.6401361,2717247.65603773,66,32,32,561660,5268690,32TNT,Bregenz,138.7325100000,285.5390900000,97.2921800000,42.3237400000,0.2592600000,0.6666700000,459.0740700000,124.5373400000,0.1334600000,859.9939000000,1.3054500000,263.1456800000,1.4834600000,984.5312400000,0.2144600000,853656092.7999999523,261E,4.1,Nrdliche Randalpen - Westteil,854.0000000000
4793538.29208974,2779636.81804537,67,33,33,599400,5311380,33TWP,Baden,214.5714300000,131.0952400000,2.8888900000,13.0031700000,0.0000000000,0.3714300000,299.6285700000,874.0263100000,0.9366200000,515.0518300000,0.7818300000,0.0000000000,0.0000000000,1389.0781400000,0.4636000000,760880308.7000000477,CE,8.1,Pannonisches Tief- und Hgelland,221.0000000000
4632955.09874978,2804450.51713885,68,33,33,440880,5347020,33UVP,Linz,1592.0833300000,770.8333300000,426.6666700000,19.5020800000,0.2500000000,0.5000000000,431.2500000000,1174.0883000000,1.2581700000,808.8167300000,1.2277600000,290.0210500000,1.6349700000,1982.9050300000,0.4598000000,558159527.6000000238,2617,7.2,Nrdl. Alpenvorland - Ostteil,325.0000000000
4733337.47706515,2806262.78304771,69,33,33,541110,5342040,33UWP,Sankt Plten,845.9876500000,790.1697500000,188.8888900000,18.2007700000,0.1111100000,0.3611100000,350.1666700000,515.6664800000,0.5526000000,366.6367100000,0.5565400000,215.2247400000,1.2133100000,882.3032000000,0.2519700000,1240889232.0000000000,2617,7.2,Nrdl. Alpenvorland - Ostteil,289.0000000000
4680468.12177503,2608920.42368366,70,33,33,475500,5148720,33TVM,Vlkermarkt,186.1111100000,326.7433000000,84.0421500000,19.5569700000,0.2931000000,0.6551700000,341.6034500000,444.0042900000,0.4758000000,496.2285600000,0.7532600000,98.8789800000,0.5574200000,940.2328500000,0.2752400000,910109890.7000000477,25F9,6.1,Sdliche Randgebirge,971.0000000000
